insee	libelle1	libelle2	voie_num	voie_type	voie_nom	local	voie	CPBIBLIO	CEDEXB	BP	ville	DEPT	REGION	population_legale	
59407	Bibliothèque communale			rue	d'en Haut	Ecole Berthe Causelle	rue d'en Haut	59224			Monchaux-sur-Ecaillon	59	31	571	
59408	MEDIATHEQUE		152	RUE	DE LA MAIRIE		152 RUE DE LA MAIRIE	59283			Moncheaux	59	31	1456	
59409	Bibliothèque municipale		7	Rue	Jean Jaurès		7 Rue Jean Jaurès	59234			Monchecourt	59	31	2673	
59410	BIBLIOTHEQUE MUNICIPALE			RUE	DE NORMANDIE	LE FORT	RUE DE NORMANDIE	59370			Mons-en-Baroeul	59	31	22298	
59411	MEDIATHEQUE MUNICIPALE				GRAND PLACE		GRAND PLACE	59246			Mons-en-Pévèle	59	31	2192	
59414	BIBLIOTHEQUE MUNICIPALE			AVENUE	RAYMOND HONORE	CENTRE JEAN MONNET	AVENUE RAYMOND HONORE	59182			Montigny-en-Ostrevent	59	31	4950	
59418	Bibliothèque Amicaliste			rue	Beauchamp	Groupe scolaire des Deux Vallées	rue Beauchamp	59158			Mortagne-du-Nord	59	31	1653	
59419	Médiathèque		128	Route	de St. Amand		128 Route de St. Amand	59310			Mouchin	59	31	1372	
59423	bibliothèque		6	rue	d'Estaires		6 rue d'Estaires	59940			Neuf-Berquin	59	31	1262	
59425	Bibliothèque mun icipale		15	rue	du maréchal Foch		15 rue du maréchal Foch	59218			Neuville-en-Avesnois	59	31	300	
59427	bibliothèque municipale		39 bis	rue	du Général de Gaulle		39 bis rue du Général de Gaulle	59239			La Neuville	59	31	701	
59428	Médiathèque municipale		189	rue	de Lille		189 rue de Lille	59554			Neuville-Saint-Rémy	59	31	3791	
59429	Bibliothèque Municipale			rue	Jean Lebas	espace Léon Blum	rue Jean Lebas	59293			Neuville-sur-Escaut	59	31	2653	
59431	ESPACE CULTUREL MAURICE-SCHUMANN	MEDIATHEQUE	1108	RUE	D'ARMENTIERES	ESPACE CULTUREL MAURICE SCHUMANN	1108 RUE D'ARMENTIERES	59850			Nieppe	59	31	7794	
59432	bibliothèque municipale				Grand'rue		Grand'rue	59400			Niergnies	59	31	519	
59435	Bibliothèque municipale de Nomain		26	rue Jean Lebas			26 rue Jean Lebas	59310			Nomain	59	31	2494	
59436	mediatheque municipale			place	de la mairie		place de la mairie	59670			Noordpeene	59	31	802	
59437	MEDIATHEQUE LOUIS SERAPHIN			PLACE	DE L EGLISE		PLACE DE L EGLISE	59139			Noyelles-lès-Seclin	59	31	906	
59447	Bibliothèque municipale Victor Hugo		12	rue	Victor Hugo		12 rue Victor Hugo	59264			Onnaing	59	31	8745	
59449	BIBLIOTHEQUE MUNICIPALE		36	RUE	JULES ROCH		36 RUE JULES ROCH	59310			Orchies	59	31	8479	
59451	Bibliothèque Edouard Raux		3	rue du vieux chemin		Mairie d'Orsinval	3 rue du vieux chemin	59530			Orsinval	59	31	494	
59452	Médiathèque Educative Municipale d'Ostricourt			Place	Albert Thomas		Place Albert Thomas	59162			Ostricourt	59	31	5227	
59453	"Bibliothèque ""Entre Guillemets"""		53	rue	de Wylder		53 rue de Wylder	59670			Oudezeele	59	31	646	
59454	BIBLIOTHEQUE			place	de la mairie		place de la mairie	59670			Oxelaëre	59	31	498	
59458	Bibliothèque		6	rue	de l'église		6 rue de l'église	59273			Péronne-en-Mélantois	59	31	882	
59459	Bibliothèque municipale Denis Diderot			rue	Jean Jaurès		rue Jean Jaurès	59494			Petite-Forêt	59	31	4977	
59462	Médiathèque		6	Rue	Léon Blum		6 Rue Léon Blum	59133			Phalempin	59	31	4591	
59466	bibliothèque louis baudry			rue	marechal leclerc		rue marechal leclerc	59710			Pont-à-Marcq	59	31	2586	
59467	MEDIATHEQUE MUNICIPALE		219		GRAND'RUE		219   GRAND'RUE	59138			Pont-sur-Sambre	59	31	2636	
59471	Bibliothèque municipale			rue	Armand Delbove		rue Armand Delbove	59990			Préseau	59	31	1925	
59476	BIBLIOTHEQUE MUNICIPALE			RUE	DE LA PAIX		RUE DE LA PAIX	59267			Proville	59	31	63439	
59480	médiathèque			Place	Jules Bacq		Place Jules Bacq	59269			Quérénaing	59	31	964	
59481	BIBLIOTHEQUE MUNICIPALE		33	RUE	JEAN JAURES		33 RUE JEAN JAURES	59530			Le Quesnoy	59	31	5177	
59482	Médiathèque des Etreindelles		79	allée	des Etreindelles		79 allée des Etreindelles	59890			Quesnoy-sur-Deûle	59	31	7205	
59487	MEDIATHEQUE		3	RUE	DE L'EGLISE		3 RUE DE L'EGLISE	59320			Radinghem-en-Weppes	59	31	1291	
59488	MEDIATHEQUE		626	Route	d'Arras		626 Route d'Arras	59554			Raillencourt-Sainte-Olle	59	31	2415	
59491	BIBLIOTHEQUE MUNICIPALE		28	RUE	HENRI DURRE	CENTRE CULTUREL LOUIS ARAGON	28 RUE HENRI DURRE	59590			Raismes	59	31	13276	
59495	Bibliothèque Muniipale	Mairie de RECQUIGNIES				Place de la gare		59245			Recquignies	59	31	2369	
59497	Médiathèque de Renescure		2	Bis rue du Château			2 Bis rue du Château	59173			Renescure	59	31	2083	
59499	MEDIATHEQUE INTERCOMMUNALE	MTR de REXPOEDE	 LA SOURCE	10	Place de la mairie			10 Place de la mairie	59122			Rexpoëde	59	31	15524
59501	Médiathèque			Rue	Suzanne Lanoy	Placette Coeur de village	Rue Suzanne Lanoy	59870			Rieulay	59	31	1436	
59502	biblioothèque médiathèque municipale		8	RUE	GHESQUIERE		8 RUE GHESQUIERE	59277			Rieux-en-Cambrésis	59	31	1495	
59504	Bibliothèque Gustave Ansart	Ecole Paul Langevin		rue	Salengro		rue Salengro	59172			Roeulx	59	31	3698	
59505	mediathèque	ecole Claudine Huart		sentier	des écoles		sentier des écoles	59990			Rombies-et-Marchipont	59	31	747	
59507	BIBLIOTHEQUE MUNICIPALE		650	AVENUE	JEAN JAURES		650 AVENUE JEAN JAURES	59790			Ronchin	59	31	18423	
59508	BIBLIOTHEQUE MUNICIPALE		364	RUE	DE LILLE		364 RUE DE LILLE	59223			Roncq	59	31	12848	
59511	RESEAU DES MEDIATHEQUES DE LA  CCRVS	MTR de ROSULT	565	rue	du capitaine Deken		565 rue du capitaine Deken	59230			Rosult	59	31	9009	
59512	MEDIATHEQUE MUNICIPALE		2	RUE	PIERRE MOTTE		2 RUE PIERRE MOTTE	59066	CEDEX 1	BP 737	Roubaix	59	31	96682	
59513	Bibliothèque			place	Emile Poutrain		place Emile Poutrain	59169			Roucourt	59	31	385	
59514	BIBLIOTHEQUE MUNICIPALE	LOUIS ARAGON		PLACE	DE LA MAIRIE		PLACE DE LA MAIRIE	59131			Rousies	59	31	4299	
59515	mediathèque ludothèque		27	rue	Mozart		27 rue Mozart	59220			Rouvignies	59	31	686	
59516	MEDIATHEQUE		92	ROUTE	DE BROXEELE		92 ROUTE DE BROXEELE	59285			Rubrouck	59	31	933	
59517	BIBLIOTHEQUE MUNICIPALE		495	RUE	HAUTE		495 RUE HAUTE	59258			Les Rues-des-Vignes	59	31	696	
59518	Bibliothèque municipale			place	de la Mairie		place de la Mairie	59530			Ruesnes	59	31	457	
59525	MEDIATHEQUE		10 bis	RUE	E. Wiart		10 bis RUE E. Wiart	59177			Sains-du-Nord	59	31	3100	
59526	MEDIATHEQUE MUNICIPALE				JARDINS DE LA TOUR		JARDINS DE LA TOUR	59230			Saint-Amand-les-Eaux	59	31	16876	
59535	Bibliothèque Louis Sonneville		Mairie	Chemin Haut		St Jans Cappel	Mairie Chemin Haut	59270			Saint-Jans-Cappel	59	31	1530	
59536	BIBLIOTHEQUE					la place		59670			Sainte-Marie-Cappel	59	31	859	
59539	BIBLIOTHEQUE DE SAINT PIERRE-BROUCK			Place	Isaïe Blonde		Place Isaïe Blonde	59630			Saint-Pierre-Brouck	59	31	941	
59540	MEDIATHEQUE MUNICIPALE	EMILE ZOLA		BOULEVARD	DE L'AURORE	CENTRE JEAN COCTEAU	BOULEVARD DE L'AURORE	59430			Saint-Pol-sur-Mer	59	31	22020	
59546	Bibliothèque municipale		5	route	d'Hondeghem		5 route d'Hondeghem	59114			Saint-Sylvestre-Cappel	59	31	1116	
59548	Bibkiothèque municipale		2	rue	Laurent NIOGRET		2 rue Laurent NIOGRET	59570			Saint-Waast	59	31	605	
59549	Bibliothèque municipale		10	place	Roger Salengro		10 place Roger Salengro	59218			Salesches	59	31	312	
59550	Bibliothèque Saloméenne	Ecole Pierre Mendès France		Place	Louis Bocquet		Place Louis Bocquet	59496			Salomé	59	31	3035	
59551	Association pour la bibliothèque municipale		40	rue	de l'église		40 rue de l'église	59310			Saméon	59	31	1510	
59555	Médiathèque Municipale	19, rue jean Jaurès						59216			Sars-Poteries	59	31	1483	
59558	BIBLIOTHEQUE MUNICIPALE			RUE	VICTOR HUGO		RUE VICTOR HUGO	59227			Saulzoir	59	31	1717	
59559	MEDIATHEQUE MUNICIPALE		1	RUE	DES ECOLES		1 RUE DES ECOLES	59990			Sebourg	59	31	1899	
59560	BIBLIOTHEQUE MUNICIPALE	JACQUES ESTAGER	1	CONTOUR	DE L'EGLISE		1 CONTOUR DE L'EGLISE	59113			Seclin	59	31	12371	
59564	MEDIATHEQUE JULES VERNE		123	rue	charles basquin		123 rue charles basquin	59174			La Sentinelle	59	31	3385	
